720	8.215452	0.52524	smallDoses
354	68.216555	0.36525	didntLike
100	46.215475	0.00215	didntLike
800	26.21545	0.65154	smallDoses
935	27.02155	0.71525	smallDoses
1500	3.21525	0.91242	largeDoses
1400	4.74522	0.95321	largeDoses
1342	3.21455	0.24565	largeDoses
1440	5.33456	0.81454	largeDoses
187	65.52452	0.35456	didntLike
206	63.34556	0.26443	didntLike
300	70.45221	0.31245	didntLike
600	20.35455	0.76354	smallDoses
825	36.34556	0.24536	smallDoses
1356	6.15322	0.12354	largeDoses
1452	2.15433	0.98724	largeDoses
625	33.15442	0.54675	smallDoses
554	25.64652	0.68443	smallDoses
325	86.21156	0.00054	didntLike
547	86.21156	0.00354	didntLike
